date,nav,scheme_code,scheme_name
12-06-2026,105.68640,119551,SBI Bluechip Fund - Regular Plan - Growth
11-06-2026,105.57370,119551,SBI Bluechip Fund - Regular Plan - Growth
10-06-2026,105.65690,119551,SBI Bluechip Fund - Regular Plan - Growth
09-06-2026,105.57930,119551,SBI Bluechip Fund - Regular Plan - Growth
08-06-2026,105.30840,119551,SBI Bluechip Fund - Regular Plan - Growth
05-06-2026,105.10700,119551,SBI Bluechip Fund - Regular Plan - Growth
04-06-2026,104.80950,119551,SBI Bluechip Fund - Regular Plan - Growth
03-06-2026,104.74960,119551,SBI Bluechip Fund - Regular Plan - Growth
02-06-2026,104.76630,119551,SBI Bluechip Fund - Regular Plan - Growth
01-06-2026,104.70250,119551,SBI Bluechip Fund - Regular Plan - Growth
29-05-2026,104.65700,119551,SBI Bluechip Fund - Regular Plan - Growth
27-05-2026,104.58330,119551,SBI Bluechip Fund - Regular Plan - Growth
26-05-2026,104.52690,119551,SBI Bluechip Fund - Regular Plan - Growth
25-05-2026,104.52150,119551,SBI Bluechip Fund - Regular Plan - Growth
22-05-2026,104.34670,119551,SBI Bluechip Fund - Regular Plan - Growth
21-05-2026,104.28500,119551,SBI Bluechip Fund - Regular Plan - Growth
20-05-2026,104.38260,119551,SBI Bluechip Fund - Regular Plan - Growth
19-05-2026,104.42160,119551,SBI Bluechip Fund - Regular Plan - Growth
18-05-2026,104.37910,119551,SBI Bluechip Fund - Regular Plan - Growth
15-05-2026,104.59680,119551,SBI Bluechip Fund - Regular Plan - Growth
14-05-2026,104.73180,119551,SBI Bluechip Fund - Regular Plan - Growth
13-05-2026,104.73710,119551,SBI Bluechip Fund - Regular Plan - Growth
12-05-2026,104.75850,119551,SBI Bluechip Fund - Regular Plan - Growth
11-05-2026,104.80530,119551,SBI Bluechip Fund - Regular Plan - Growth
08-05-2026,104.86960,119551,SBI Bluechip Fund - Regular Plan - Growth
07-05-2026,104.87620,119551,SBI Bluechip Fund - Regular Plan - Growth
06-05-2026,104.80430,119551,SBI Bluechip Fund - Regular Plan - Growth
05-05-2026,104.61660,119551,SBI Bluechip Fund - Regular Plan - Growth
04-05-2026,104.65440,119551,SBI Bluechip Fund - Regular Plan - Growth
30-04-2026,104.57060,119551,SBI Bluechip Fund - Regular Plan - Growth
29-04-2026,104.65940,119551,SBI Bluechip Fund - Regular Plan - Growth
28-04-2026,104.74280,119551,SBI Bluechip Fund - Regular Plan - Growth
