date,nav,scheme_code,scheme_name
01-06-2026,52.07000,120504,ICICI Pru Bluechip Fund - Direct - Growth
31-05-2026,52.82000,120504,ICICI Pru Bluechip Fund - Direct - Growth
29-05-2026,52.82000,120504,ICICI Pru Bluechip Fund - Direct - Growth
27-05-2026,53.60000,120504,ICICI Pru Bluechip Fund - Direct - Growth
26-05-2026,53.31000,120504,ICICI Pru Bluechip Fund - Direct - Growth
25-05-2026,53.20000,120504,ICICI Pru Bluechip Fund - Direct - Growth
22-05-2026,52.82000,120504,ICICI Pru Bluechip Fund - Direct - Growth
21-05-2026,52.84000,120504,ICICI Pru Bluechip Fund - Direct - Growth
20-05-2026,52.84000,120504,ICICI Pru Bluechip Fund - Direct - Growth
19-05-2026,52.50000,120504,ICICI Pru Bluechip Fund - Direct - Growth
18-05-2026,52.17000,120504,ICICI Pru Bluechip Fund - Direct - Growth
15-05-2026,52.22000,120504,ICICI Pru Bluechip Fund - Direct - Growth
14-05-2026,52.29000,120504,ICICI Pru Bluechip Fund - Direct - Growth
13-05-2026,51.73000,120504,ICICI Pru Bluechip Fund - Direct - Growth
12-05-2026,51.66000,120504,ICICI Pru Bluechip Fund - Direct - Growth
11-05-2026,52.95000,120504,ICICI Pru Bluechip Fund - Direct - Growth
08-05-2026,53.47000,120504,ICICI Pru Bluechip Fund - Direct - Growth
07-05-2026,53.57000,120504,ICICI Pru Bluechip Fund - Direct - Growth
06-05-2026,53.14000,120504,ICICI Pru Bluechip Fund - Direct - Growth
05-05-2026,52.36000,120504,ICICI Pru Bluechip Fund - Direct - Growth
04-05-2026,52.26000,120504,ICICI Pru Bluechip Fund - Direct - Growth
30-04-2026,51.94000,120504,ICICI Pru Bluechip Fund - Direct - Growth
29-04-2026,52.32000,120504,ICICI Pru Bluechip Fund - Direct - Growth
28-04-2026,52.37000,120504,ICICI Pru Bluechip Fund - Direct - Growth
27-04-2026,52.47000,120504,ICICI Pru Bluechip Fund - Direct - Growth
24-04-2026,51.88000,120504,ICICI Pru Bluechip Fund - Direct - Growth
23-04-2026,52.32000,120504,ICICI Pru Bluechip Fund - Direct - Growth
22-04-2026,52.41000,120504,ICICI Pru Bluechip Fund - Direct - Growth
21-04-2026,52.33000,120504,ICICI Pru Bluechip Fund - Direct - Growth
20-04-2026,52.00000,120504,ICICI Pru Bluechip Fund - Direct - Growth
17-04-2026,51.84000,120504,ICICI Pru Bluechip Fund - Direct - Growth
16-04-2026,51.32000,120504,ICICI Pru Bluechip Fund - Direct - Growth
15-04-2026,51.13000,120504,ICICI Pru Bluechip Fund - Direct - Growth
13-04-2026,50.26000,120504,ICICI Pru Bluechip Fund - Direct - Growth
10-04-2026,50.57000,120504,ICICI Pru Bluechip Fund - Direct - Growth
09-04-2026,49.76000,120504,ICICI Pru Bluechip Fund - Direct - Growth
08-04-2026,49.69000,120504,ICICI Pru Bluechip Fund - Direct - Growth
07-04-2026,48.01000,120504,ICICI Pru Bluechip Fund - Direct - Growth
06-04-2026,47.81000,120504,ICICI Pru Bluechip Fund - Direct - Growth
02-04-2026,47.18000,120504,ICICI Pru Bluechip Fund - Direct - Growth
01-04-2026,47.32000,120504,ICICI Pru Bluechip Fund - Direct - Growth
31-03-2026,46.56000,120504,ICICI Pru Bluechip Fund - Direct - Growth
30-03-2026,46.56000,120504,ICICI Pru Bluechip Fund - Direct - Growth
27-03-2026,47.56000,120504,ICICI Pru Bluechip Fund - Direct - Growth
25-03-2026,48.56000,120504,ICICI Pru Bluechip Fund - Direct - Growth
24-03-2026,47.51000,120504,ICICI Pru Bluechip Fund - Direct - Growth
23-03-2026,46.48000,120504,ICICI Pru Bluechip Fund - Direct - Growth
20-03-2026,47.97000,120504,ICICI Pru Bluechip Fund - Direct - Growth
19-03-2026,47.90000,120504,ICICI Pru Bluechip Fund - Direct - Growth
18-03-2026,49.20000,120504,ICICI Pru Bluechip Fund - Direct - Growth
17-03-2026,48.47000,120504,ICICI Pru Bluechip Fund - Direct - Growth
16-03-2026,47.90000,120504,ICICI Pru Bluechip Fund - Direct - Growth
13-03-2026,47.98000,120504,ICICI Pru Bluechip Fund - Direct - Growth
12-03-2026,49.13000,120504,ICICI Pru Bluechip Fund - Direct - Growth
11-03-2026,49.26000,120504,ICICI Pru Bluechip Fund - Direct - Growth
10-03-2026,49.91000,120504,ICICI Pru Bluechip Fund - Direct - Growth
09-03-2026,49.36000,120504,ICICI Pru Bluechip Fund - Direct - Growth
06-03-2026,50.34000,120504,ICICI Pru Bluechip Fund - Direct - Growth
05-03-2026,50.67000,120504,ICICI Pru Bluechip Fund - Direct - Growth
04-03-2026,50.02000,120504,ICICI Pru Bluechip Fund - Direct - Growth
02-03-2026,51.03000,120504,ICICI Pru Bluechip Fund - Direct - Growth
28-02-2026,51.63000,120504,ICICI Pru Bluechip Fund - Direct - Growth
27-02-2026,51.63000,120504,ICICI Pru Bluechip Fund - Direct - Growth
26-02-2026,52.15000,120504,ICICI Pru Bluechip Fund - Direct - Growth
25-02-2026,51.81000,120504,ICICI Pru Bluechip Fund - Direct - Growth
24-02-2026,51.44000,120504,ICICI Pru Bluechip Fund - Direct - Growth
23-02-2026,51.58000,120504,ICICI Pru Bluechip Fund - Direct - Growth
20-02-2026,51.34000,120504,ICICI Pru Bluechip Fund - Direct - Growth
19-02-2026,51.01000,120504,ICICI Pru Bluechip Fund - Direct - Growth
18-02-2026,51.75000,120504,ICICI Pru Bluechip Fund - Direct - Growth
17-02-2026,51.46000,120504,ICICI Pru Bluechip Fund - Direct - Growth
16-02-2026,51.33000,120504,ICICI Pru Bluechip Fund - Direct - Growth
13-02-2026,51.12000,120504,ICICI Pru Bluechip Fund - Direct - Growth
12-02-2026,51.72000,120504,ICICI Pru Bluechip Fund - Direct - Growth
11-02-2026,51.81000,120504,ICICI Pru Bluechip Fund - Direct - Growth
10-02-2026,51.76000,120504,ICICI Pru Bluechip Fund - Direct - Growth
09-02-2026,51.65000,120504,ICICI Pru Bluechip Fund - Direct - Growth
06-02-2026,50.80000,120504,ICICI Pru Bluechip Fund - Direct - Growth
05-02-2026,50.88000,120504,ICICI Pru Bluechip Fund - Direct - Growth
04-02-2026,50.94000,120504,ICICI Pru Bluechip Fund - Direct - Growth
03-02-2026,50.80000,120504,ICICI Pru Bluechip Fund - Direct - Growth
02-02-2026,49.40000,120504,ICICI Pru Bluechip Fund - Direct - Growth
31-01-2026,49.89000,120504,ICICI Pru Bluechip Fund - Direct - Growth
30-01-2026,49.89000,120504,ICICI Pru Bluechip Fund - Direct - Growth
29-01-2026,49.73000,120504,ICICI Pru Bluechip Fund - Direct - Growth
28-01-2026,49.66000,120504,ICICI Pru Bluechip Fund - Direct - Growth
27-01-2026,48.83000,120504,ICICI Pru Bluechip Fund - Direct - Growth
23-01-2026,48.55000,120504,ICICI Pru Bluechip Fund - Direct - Growth
22-01-2026,49.19000,120504,ICICI Pru Bluechip Fund - Direct - Growth
21-01-2026,48.73000,120504,ICICI Pru Bluechip Fund - Direct - Growth
20-01-2026,53.52000,120504,ICICI Pru Bluechip Fund - Direct - Growth
19-01-2026,54.63000,120504,ICICI Pru Bluechip Fund - Direct - Growth
16-01-2026,54.81000,120504,ICICI Pru Bluechip Fund - Direct - Growth
14-01-2026,54.75000,120504,ICICI Pru Bluechip Fund - Direct - Growth
13-01-2026,54.73000,120504,ICICI Pru Bluechip Fund - Direct - Growth
12-01-2026,54.79000,120504,ICICI Pru Bluechip Fund - Direct - Growth
09-01-2026,55.07000,120504,ICICI Pru Bluechip Fund - Direct - Growth
08-01-2026,55.51000,120504,ICICI Pru Bluechip Fund - Direct - Growth
07-01-2026,56.50000,120504,ICICI Pru Bluechip Fund - Direct - Growth
06-01-2026,56.27000,120504,ICICI Pru Bluechip Fund - Direct - Growth
05-01-2026,56.42000,120504,ICICI Pru Bluechip Fund - Direct - Growth
02-01-2026,56.48000,120504,ICICI Pru Bluechip Fund - Direct - Growth
01-01-2026,56.04000,120504,ICICI Pru Bluechip Fund - Direct - Growth
31-12-2025,55.92000,120504,ICICI Pru Bluechip Fund - Direct - Growth
30-12-2025,55.40000,120504,ICICI Pru Bluechip Fund - Direct - Growth
29-12-2025,55.71000,120504,ICICI Pru Bluechip Fund - Direct - Growth
26-12-2025,55.88000,120504,ICICI Pru Bluechip Fund - Direct - Growth
24-12-2025,56.11000,120504,ICICI Pru Bluechip Fund - Direct - Growth
23-12-2025,56.29000,120504,ICICI Pru Bluechip Fund - Direct - Growth
22-12-2025,56.36000,120504,ICICI Pru Bluechip Fund - Direct - Growth
19-12-2025,55.87000,120504,ICICI Pru Bluechip Fund - Direct - Growth
18-12-2025,55.22000,120504,ICICI Pru Bluechip Fund - Direct - Growth
17-12-2025,55.27000,120504,ICICI Pru Bluechip Fund - Direct - Growth
16-12-2025,55.61000,120504,ICICI Pru Bluechip Fund - Direct - Growth
15-12-2025,55.94000,120504,ICICI Pru Bluechip Fund - Direct - Growth
12-12-2025,55.97000,120504,ICICI Pru Bluechip Fund - Direct - Growth
11-12-2025,55.45000,120504,ICICI Pru Bluechip Fund - Direct - Growth
10-12-2025,54.99000,120504,ICICI Pru Bluechip Fund - Direct - Growth
09-12-2025,55.55000,120504,ICICI Pru Bluechip Fund - Direct - Growth
08-12-2025,55.26000,120504,ICICI Pru Bluechip Fund - Direct - Growth
05-12-2025,56.12000,120504,ICICI Pru Bluechip Fund - Direct - Growth
04-12-2025,56.08000,120504,ICICI Pru Bluechip Fund - Direct - Growth
03-12-2025,56.20000,120504,ICICI Pru Bluechip Fund - Direct - Growth
02-12-2025,56.69000,120504,ICICI Pru Bluechip Fund - Direct - Growth
01-12-2025,56.80000,120504,ICICI Pru Bluechip Fund - Direct - Growth
30-11-2025,56.81000,120504,ICICI Pru Bluechip Fund - Direct - Growth
28-11-2025,56.81000,120504,ICICI Pru Bluechip Fund - Direct - Growth
27-11-2025,56.84000,120504,ICICI Pru Bluechip Fund - Direct - Growth
26-11-2025,57.00000,120504,ICICI Pru Bluechip Fund - Direct - Growth
25-11-2025,56.28000,120504,ICICI Pru Bluechip Fund - Direct - Growth
24-11-2025,56.16000,120504,ICICI Pru Bluechip Fund - Direct - Growth
21-11-2025,56.35000,120504,ICICI Pru Bluechip Fund - Direct - Growth
20-11-2025,57.11000,120504,ICICI Pru Bluechip Fund - Direct - Growth
19-11-2025,57.06000,120504,ICICI Pru Bluechip Fund - Direct - Growth
18-11-2025,56.77000,120504,ICICI Pru Bluechip Fund - Direct - Growth
17-11-2025,57.06000,120504,ICICI Pru Bluechip Fund - Direct - Growth
14-11-2025,56.66000,120504,ICICI Pru Bluechip Fund - Direct - Growth
13-11-2025,56.76000,120504,ICICI Pru Bluechip Fund - Direct - Growth
12-11-2025,57.02000,120504,ICICI Pru Bluechip Fund - Direct - Growth
11-11-2025,56.66000,120504,ICICI Pru Bluechip Fund - Direct - Growth
10-11-2025,56.54000,120504,ICICI Pru Bluechip Fund - Direct - Growth
07-11-2025,56.29000,120504,ICICI Pru Bluechip Fund - Direct - Growth
06-11-2025,56.10000,120504,ICICI Pru Bluechip Fund - Direct - Growth
04-11-2025,56.92000,120504,ICICI Pru Bluechip Fund - Direct - Growth
03-11-2025,57.10000,120504,ICICI Pru Bluechip Fund - Direct - Growth
31-10-2025,56.63000,120504,ICICI Pru Bluechip Fund - Direct - Growth
30-10-2025,57.04000,120504,ICICI Pru Bluechip Fund - Direct - Growth
29-10-2025,57.14000,120504,ICICI Pru Bluechip Fund - Direct - Growth
28-10-2025,56.89000,120504,ICICI Pru Bluechip Fund - Direct - Growth
27-10-2025,57.00000,120504,ICICI Pru Bluechip Fund - Direct - Growth
